degree_group;degree_code;name_port;stem;;;;;;
Engineering and Related;544E06;Engenharia geológica;1;;;;;;
Engineering and Related;544E07;Engenharia de petróleo;1;;;;;;
Engineering and Related;544R01;Rochas Ornamentais;1;;;;;;
Engineering and Related;544T01;Tecnologia de mineração;1;;;;;;
Engineering and Related;582A02;Agrimensura;1;;;;;;
Engineering and Related;582A03;Agrimensura e cartografia;1;;;;;;
Engineering and Related;582C04;Construção civil;1;;;;;;
Engineering and Related;582C05;Construção de edificações;1;;;;;;
Engineering and Related;582C06;Construção de estradas;1;;;;;;
Engineering and Related;582E02;Engenharia cartográfica;1;;;;;;
Engineering and Related;582E03;Engenharia civil;1;;;;;;
Engineering and Related;582E08;Engenharia de recursos hídricos;1;;;;;;
Engineering and Related;582E12;Engenharia sanitária;1;;;;;;
Engineering and Related;582M02;Materiais de construção (produção e utilização);1;;;;;;
Engineering and Related;582O01;Operação de canteiros de obras;1;;;;;;
Engineering and Related;582T01;Tecnologia de construção;1;;;;;;
Engineering and Related;582T02;Tecnologia de edificação;1;;;;;;
Engineering and Related;582T04;Tecnologia em estradas;1;;;;;;
Arquitetura e urbanismo;581A05;Arquitetura e urbanismo;1;;;;;;
Architecture and Related;581P01;Paisagismo;1;;;;;;
Architecture and Related;581U01;Urbanismo;1;;;;;;
Physical and Life Sciences;420C01;Ciências Geráis;1;;;;;;
Physical and Life Sciences;421B05;Biologia molecular;1;;;;;;
Physical and Life Sciences;421B12;Bioquímica industrial;1;;;;;;
Physical and Life Sciences;421B15;Biotecnologia;1;;;;;;
Physical and Life Sciences;421C01;Ciências biológicas;1;;;;;;
Physical and Life Sciences;421M01;Microbiologia;1;;;;;;
Physical and Life Sciences;421Z01;Zoologia;1;;;;;;
Physical and Life Sciences;422C01;Ciências ambientais;1;;;;;;
Physical and Life Sciences;422E01;Ecologia;1;;;;;;
Physical and Life Sciences;440C01;Ciências físicas;1;;;;;;
Physical and Life Sciences;441A01;Acústica;1;;;;;;
Physical and Life Sciences;441A03;Astronomia;1;;;;;;
Physical and Life Sciences;441F01;Física;1;;;;;;
Physical and Life Sciences;441R01;Física Radiológia;1;;;;;;
Physical and Life Sciences;442Q01;Química;1;;;;;;
Physical and Life Sciences;442Q04;Química industrial;1;;;;;;
Physical and Life Sciences;442Q06;Química orgânica;1;;;;;;
Physical and Life Sciences;442Q07;Química tecnológica;1;;;;;;
Physical and Life Sciences;442Q09;Química de biotecnologia;1;;;;;;
Physical and Life Sciences;443C01;Ciência da terra;1;;;;;;
Physical and Life Sciences;443C03;Ciências atmosféricas;1;;;;;;
Physical and Life Sciences;443G03;Geofísica;1;;;;;;
Physical and Life Sciences;443G05;Geografia (natureza);1;;;;;;
Physical and Life Sciences;443G06;Geologia;1;;;;;;
Physical and Life Sciences;443M01;Meteorologia;1;;;;;;
Physical and Life Sciences;443O01;Oceanografia;1;;;;;;
Physical and Life Sciences;443O02;Oceanologia;1;;;;;;
Physical and Life Sciences;461M01;Matemática;1;;;;;;
Physical and Life Sciences;461M02;Matemática aplicada;1;;;;;;
Physical and Life Sciences;462C01;Ciência atuarial;1;;;;;;
Physical and Life Sciences;462E01;Estatástica;1;;;;;;
Physical and Life Sciences;481A01;Administrção de redes;1;;;;;;
Physical and Life Sciences;481B01;Banco de dados;1;;;;;;
Physical and Life Sciences;481C01;Ciência da computação;1;;;;;;
Physical and Life Sciences;481C02;Computação gráfica;1;;;;;;
Physical and Life Sciences;481I01;Informática (ciência da computação);1;;;;;;
Physical and Life Sciences;481T01;Tecnologia da informação;1;;;;;;
Physical and Life Sciences;481T02;Tecnologia em desenvolvimento de softwares;1;;;;;;
Physical and Life Sciences;481T03;Tecnologia em informática;1;;;;;;
Physical and Life Sciences;482U01;Uso da internet;1;;;;;;
Physical and Life Sciences;483A01;Análise de sistemas;1;;;;;;
Physical and Life Sciences;483A02;Análise e Desenvolvimento de Sistemas (Tecnólogo);1;;;;;;
Physical and Life Sciences;483P02;Programação de computadores;1;;;;;;
Physical and Life Sciences;483S01;Segurança da informação;1;;;;;;
Physical and Life Sciences;520G01;Geoprocessamento;1;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
